name,province,country,latitude,longitude,verification_status,coordinate_source
B & C Medical College Teaching Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
B.P. Koirala Institute of Health Sciences,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Golden Hospital Pvt.Ltd,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Nobel Medical College Teaching Hospital Pvt.Ltd,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Neuro Cardio Multispeciality Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Illam Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Koshi Hospital,Province 1,Nepal,26.4595032,87.2853391,unverified,OSM
Life Line Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Purna Tunga Birta city Hospital and Research Center,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Manamohan Memorial Eastern Regional Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Mechi Hospital,Province 1,Nepal,26.659366,87.7037208,unverified,OSM
Morang Cooperative Hospital,Province 1,Nepal,26.4527778,87.278941,unverified,OSM
Om Sai Pathibhara Hospital Pvt.Ltd,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Birat Medical College Teaching Hospital,Province 1,Nepal,27.195814,87.3369312,unverified,OSM
Purvanchal Cancer Hospital,Province 1,Nepal,26.64554,87.9977961,unverified,OSM
National Medical College Teaching Hospital,Madhes,Nepal,26.9066675,85.7069635,unverified,OSM
Janakpur Zonal Hospital,Madhes,Nepal,26.7332979,85.923427,unverified,OSM
Gajendra narayan Singh Sagarmatha Zonal Hospital,Madhes,Nepal,26.9066675,85.7069635,unverified,OSM
Narayani Sub Regional Hospital,Madhes,Nepal,27.0038274,84.8716327,unverified,OSM
Janaki Health care and Research Center,Madhes,Nepal,26.9066675,85.7069635,unverified,OSM
Birgunj Health Care Hospital,Madhes,Nepal,27.0444374,84.8989563,unverified,OSM
District Hospital Siraha,Madhes,Nepal,26.658324,86.2103525,unverified,OSM
Provincial Hospital Gaur,Madhes,Nepal,26.9066675,85.7069635,unverified,OSM
Aarogya Swasthya Prathisthan,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Alka Hospital Pvt.Ltd Lalitpur,Bagmati,Nepal,27.6698644,85.3096819,unverified,OSM
Ashwins Medical College & Hospital,Bagmati,Nepal,27.6623271,85.3026856,unverified,OSM
B & B Hospital,Bagmati,Nepal,27.6651141,85.3293429,unverified,OSM
Bakulahar Ratnanagar Hospital,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
B.P. Koirala Memorial Cancer Hospital,Bagmati,Nepal,27.664926,84.4176559,unverified,OSM
Bhaktapur Cancer Hospital,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Bharatpur Hospital,Bagmati,Nepal,27.6823745,84.4360338,unverified,OSM
Birendra Army Hospital,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Blue Cross Hospital Pvt.Ltd,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Cancer Care Nepal,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
Chirayu Dialysis Center,Bagmati,Nepal,27.718333,85.5378341,unverified,OSM
