name,province
B & C Medical College Teaching Hospital,Province 1
B.P. Koirala Institute of Health Sciences,Province 1
Golden Hospital Pvt.Ltd,Province 1
Nobel Medical College Teaching Hospital Pvt.Ltd,Province 1
Neuro Cardio Multispeciality Hospital,Province 1
Illam Hospital,Province 1
Koshi Hospital,Province 1
Life Line Hospital,Province 1
Purna Tunga Birta city Hospital and Research Center,Province 1
Manamohan Memorial Eastern Regional Hospital,Province 1
Mechi Hospital,Province 1
Morang Cooperative Hospital,Province 1
Om Sai Pathibhara Hospital Pvt.Ltd,Province 1
Birat Medical College Teaching Hospital,Province 1
Purvanchal Cancer Hospital,Province 1
National Medical College Teaching Hospital,Madhes
Janakpur Zonal Hospital,Madhes
Gajendra narayan Singh Sagarmatha Zonal Hospital,Madhes
Narayani Sub Regional Hospital,Madhes
Janaki Health care and Research Center,Madhes
Birgunj Health Care Hospital,Madhes
District Hospital Siraha,Madhes
Provincial Hospital Gaur,Madhes
Aarogya Swasthya Prathisthan,Bagmati
Alka Hospital Pvt.Ltd Lalitpur,Bagmati
Ashwins Medical College & Hospital,Bagmati
B & B Hospital,Bagmati
Bakulahar Ratnanagar Hospital,Bagmati
B.P. Koirala Memorial Cancer Hospital,Bagmati
Bhaktapur Cancer Hospital,Bagmati
Bharatpur Hospital,Bagmati
Birendra Army Hospital,Bagmati
Blue Cross Hospital Pvt.Ltd,Bagmati
Cancer Care Nepal,Bagmati
Chirayu Dialysis Center,Bagmati
Chitwan Medical College,Bagmati
Chure Hill Hospital Pvt.Ltd,Bagmati
Civil Service Hospital,Bagmati
College of Medical Sciences,Bagmati
Dhading Hospital,Bagmati
Dhulikhel Hospital,Bagmati
Grande International Hospital,Bagmati
Greencity Hospital,Bagmati
Hetauda Hospital,Bagmati
Himal Hospital PVT.LTD,Bagmati
Hospital for Advance Medicine & Surgery (HAMS),Bagmati
Kanti Children Hospital,Bagmati
Kathmandu Cancer Center,Bagmati
Kathmandu Medical college,Bagmati
Kathmandu Model Hospital,Bagmati
Kist Medical College and Teaching Hospital,Bagmati
Manmohan Cardiothoracic Vascular and Transplant Center,Bagmati
Manmohan Memorial Medical College & Teaching Hospital,Bagmati
Maya Daya Swasthya Clinic,Bagmati
National Trauma Center,Bagmati
National Academy of Medical Sciences Bir Hospital,Bagmati
National City Hospital,Bagmati
National Dialysis Center,Bagmati
National Kidney Center,Bagmati
National Kidney Center Gaushala Unit,Bagmati
National Kidney Center Ramechhap,Bagmati
Nepal Bharat Maitri Hospital,Bagmati
Nepal Cancer Hospital and Research Center,Bagmati
Nepal Medical College Pvt. Ltd.,Bagmati
Nepal Orthopedic Hospital,Bagmati
Nepal Police Hospital,Bagmati
Om Hospital and Research Center PVT.LTD,Bagmati
Paropakar Maternity and Women's Hospital,Bagmati
Patan Academy of Health Science Patan Hospital,Bagmati
Shahid Dharma Bhakta National Transplant Center,Bagmati
Shahid Gangalal National Heart Center,Bagmati
Spinal Injury Rehablitation Center,Bagmati
Star Hospital,Bagmati
Sumeru Community Hospital,Bagmati
Suvekchya International Hospital,Bagmati
Trishuli Hospital,Bagmati
TU Teaching Hospital,Bagmati
Upendra Devkota Memorial National Institute of Neuro,Bagmati
Vayodha Hospitals PVT.LTD,Bagmati
Venus Hospital,Bagmati
Pokhara Academy of Health Sciences WRH,Gandaki
Manipal Teaching Hospital,Gandaki
Charak Memorial Hospital,Gandaki
Gandaki Medical College,Gandaki
Lakecity Hospital and Critical Care Pvt.Ltd,Gandaki
Lamjung Hospital,Gandaki
Dhaulagiri Zonal Hospital,Gandaki
Beni Hospital,Gandaki
Syangja District Hospital,Gandaki
Parbat District Hospital,Gandaki
National Kidney Center Tanahun,Gandaki
Gorkha Hospital,Gandaki
Damauli Hospital,Gandaki
Madhyabindu District Hospital,Gandaki
Waling Community Dialysis Center,Gandaki
Lumbini Provincial Hospital,Lumbini
District Hospital Bardia,Lumbini
Rapti Zonal Hospital,Lumbini
Universal College of Medical Sciences,Lumbini
Siddharthanagar City Hospital,Lumbini
Gautam Buddha Community Heart Hospital,Lumbini
Bheri Zonal Hospital,Lumbini
Crimson Hospital,Lumbini
Rapti Sub Regional Hospital,Lumbini
Nepalgunj Medical College,Lumbini
Sushil Koirala Prakhar Cancer Hospital,Lumbini
Siddhababa Hospital and Research Center,Lumbini
R.C. Tharu Memorial City Hospital,Lumbini
Palpa Community Dialysis Center,Lumbini
Lamahi Community Dialysis Center,Lumbini
Karnali Academy of Health Science,Karnali
Mid-Western Regional Hospital Surkhet,Karnali
Seti Zonal Hospital,Sudurpaschim
Mahakali Hospital,Sudurpaschim
Ghodaghodi Hospital Pvt.Ltd,Sudurpaschim
